Average Returns,Iteration
0.05,0
0.0,1
0.05,2
0.05,3
0.05,4
0.15,5
0.15,6
0.05,7
0.2,8
0.15,9
0.15,10
0.3,11
0.45,12
0.35,13
0.5,14
0.5,15
0.6,16
0.4,17
0.5,18
0.7,19
0.6,20
0.55,21
0.75,22
0.85,23
0.8,24
0.75,25
0.8,26
0.9,27
0.9,28
0.8,29
1.0,30
0.9,31
1.0,32
1.0,33
0.95,34
1.0,35
0.95,36
1.0,37
1.0,38
0.9,39
1.0,40
1.0,41
0.95,42
0.95,43
0.9,44
1.0,45
0.95,46
0.95,47
1.0,48
1.0,49
