Average Returns,Iteration
0.0,0
0.0,1
0.0,2
0.15,3
0.1,4
0.05,5
0.1,6
0.15,7
0.15,8
0.1,9
0.15,10
0.15,11
0.3,12
0.1,13
0.2,14
0.15,15
0.3,16
0.1,17
0.2,18
0.25,19
0.5,20
0.25,21
0.6,22
0.55,23
0.45,24
0.8,25
0.7,26
0.8,27
0.75,28
0.75,29
0.55,30
0.85,31
0.8,32
1.0,33
0.9,34
1.0,35
1.0,36
1.0,37
1.0,38
0.95,39
1.0,40
1.0,41
1.0,42
1.0,43
0.95,44
1.0,45
1.0,46
1.0,47
1.0,48
1.0,49
