Iteration,Average Returns
0,0.0
1,0.0
2,0.0
3,0.1
4,0.05
5,0.1
6,0.1
7,0.05
8,0.05
9,0.2
10,0.3
11,0.3
12,0.25
13,0.3
14,0.45
15,0.5
16,0.4
17,0.2
18,0.6
19,0.65
20,0.55
21,0.5
22,0.7
23,0.8
24,0.65
25,0.75
26,0.75
27,0.95
28,0.75
29,0.95
30,0.75
31,0.95
32,0.85
33,0.85
34,0.85
35,0.9
36,0.9
37,0.95
38,0.95
39,0.9
40,0.85
41,0.85
42,1.0
43,0.95
44,0.75
45,0.9
46,0.9
47,0.85
48,1.0
49,0.75
