Average Returns,Iteration
0.0,0
0.0,1
0.0,2
0.1,3
0.05,4
0.1,5
0.1,6
0.05,7
0.05,8
0.2,9
0.3,10
0.3,11
0.25,12
0.3,13
0.45,14
0.5,15
0.4,16
0.2,17
0.6,18
0.65,19
0.55,20
0.5,21
0.7,22
0.8,23
0.65,24
0.75,25
0.75,26
0.95,27
0.75,28
0.95,29
0.75,30
0.95,31
0.85,32
0.85,33
0.85,34
0.9,35
0.9,36
0.95,37
0.95,38
0.9,39
0.85,40
0.85,41
1.0,42
0.95,43
0.75,44
0.9,45
0.9,46
0.85,47
1.0,48
0.75,49
